Index,A,Label
0,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,1
1,Layin n bed with a headache  ughhhh...waitin on your call...,10
2,Funeral ceremony...gloomy friday...,10
3,wants to hang out with friends SOON!,3
4,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",8
5,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,12
6,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",10
7,Hmmm. http://www.djhero.com/ is down,12
8,@charviray Charlene my love. I miss you,10
9,@kelcouch I'm sorry  at least it's Friday?,10
10,cant fall asleep,8
11,Choked on her retainers,12
12,Ugh! I have to beat this stupid song to get to the next  rude!,10
13,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,10
14,Got the news,11
15,The storm is here and the electricity is gone,10
16,@annarosekerr agreed,7
17,So sleepy again and it's not even that late. I fail once again.,10
18,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,12
19,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,10
20,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,12
21,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",4
22,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,8
23,I ate Something I don't know what it is... Why do I keep Telling things about food,12
24,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,10
25,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,12
26,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",10
27,Damm servers still down  i need to hit 80 before all the koxpers pass me,12
28,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,10
29,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,12
30,It is so annoying when she starts typing on her computer in the middle of the night!,6
31,@cynthia_123 i cant sleep,8
32,I missed the bl***y bus!!!!!!!!,8
33,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,8
34,SoCal!  stoked. or maybe not.. tomorrow,8
35,Screw you @davidbrussee! I only have 3 weeks...,8
36,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,10
37,I need skott right now,12
38,has work this afternoon,8
39,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,8
40,mmm much better day... so far! it's still quite early. last day of #uds,5
41,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,4
42,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,12
43,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,12
